Date,close,high,low,open,volume,returns,mean_5,mean_10,mean_30,target_volatility,return_5,return_30,dist_ma10,dist_ma30,range,volume_z,vol_of_vol,vol_lag_1,return_lag_1,volume_lag_1,vol_lag_5,return_lag_5,volume_lag_5,vol_lag_21,return_lag_21,volume_lag_21,vol_lag_63,return_lag_63,volume_lag_63,vol_lag_252,return_lag_252,volume_lag_252,y
2001-02-14,1315.9200439453125,1320.72998046875,1304.719970703125,1318.800048828125,1150300000,-0.0021861950632109965,1322.4640380859375,1338.272021484375,1338.262345377604,0.012981238329010334,-0.018621937989203197,0.025442832698599815,-0.01670211823921297,-0.016695008650181697,0.012166400108645468,-0.4167018797674802,0.0007891135463145878,0.014033803536476326,-0.008689772585958535,1075200000.0,0.013820144371148202,-0.00844369052364719,1158300000.0,0.0181735474541312,0.006124301133249056,1205700000.0,0.014970188564609598,-0.01083460772864791,1129300000.0,0.014975495269282572,0.008674947553079746,1092100000.0,0.016829424758831642
2001-02-15,1326.6099853515625,1331.2900390625,1315.9200439453125,1315.9200439453125,1153700000,0.008090730929249642,1321.280029296875,1333.5860229492187,1337.5640096028646,0.009423977587148942,-0.004442709593896588,-0.015546671266028822,-0.00523103682672732,-0.008189532742103656,0.01158591845900687,-0.3465989722266159,0.0016225287154765697,0.012981238329010334,-0.0021861950632109965,1150300000.0,0.013828780808956848,-0.006254170660763812,1107200000.0,0.018176595808299723,0.0021233583977827188,1349100000.0,0.0156269629491798,0.02318136570591192,1118800000.0,0.013293824946502013,-0.010309372816680578,1018800000.0,0.016904421991173257
2001-02-16,1301.530029296875,1326.6099853515625,1293.1800537109375,1326.6099853515625,1257200000,-0.019086287083199486,1318.634033203125,1328.7920288085938,1336.5036783854166,0.009854148237443147,-0.010062658105267741,-0.023857333717486662,-0.02051637797388217,-0.026168015587351046,0.02568510206305792,0.46560014991835763,0.0018465806142410701,0.009423977587148942,0.008090730929249642,1153700000.0,0.01392107381981167,-0.01342526596679741,1075500000.0,0.01829999073871692,0.013819390779688844,1445000000.0,0.01561940419578768,0.004948225879737868,1066800000.0,0.013288088511420245,0.0004250581374747612,1034800000.0,0.016750720070374966
2001-02-20,1278.93994140625,1307.1600341796875,1278.43994140625,1301.530029296875,1112200000,-0.017508953990654743,1308.360009765625,1321.2550170898437,1335.8566772460938,0.00914873216532062,-0.03861514603730998,-0.014949770512321159,-0.0320264257363394,-0.0426069179495957,0.022456170023010237,-0.6290330987917196,0.002150535768643358,0.009854148237443147,-0.019086287083199486,1257200000.0,0.014076192562588831,0.011757894931235194,1039100000.0,0.01687596566204901,-0.004036364104246305,1407800000.0,0.015754017614570258,-0.012664390190450861,956300000.0,0.014403659821580417,-0.03084710308169203,1042300000.0,0.017515145151720105
2001-02-21,1255.27001953125,1282.969970703125,1253.1600341796875,1278.93994140625,1208500000,-0.018680859586076647,1295.65400390625,1311.5560180664063,1334.5036783854166,0.009731522449591048,-0.04817260156558778,-0.031322802061289456,-0.04291543613831861,-0.059373128854938395,0.023747828004821857,0.14995989244501248,0.0022162722373751075,0.00914873216532062,-0.017508953990654743,1112200000.0,0.014033803536476326,-0.008689772585958535,1075200000.0,0.01654733807126622,0.0002681015738275837,1164000000.0,0.01540316737269564,-0.0033576006531063148,1070400000.0,0.013447253597706535,0.004506673481115292,980000000.0,0.017320662928590747
2001-02-22,1252.8199462890625,1259.93994140625,1228.3299560546875,1255.27001953125,1365900000,-0.0019537369511636415,1283.033984375,1302.7490112304688,1332.9043416341146,0.00968893768310108,-0.04795131584671897,-0.03688507129307628,-0.03832592810356261,-0.06008262772020856,0.02523106807581841,1.3743804278378595,0.002241164359099263,0.009731522449591048,-0.018680859586076647,1208500000.0,0.012981238329010334,-0.0021861950632109965,1150300000.0,0.016681562088884622,0.012947319312044342,1232600000.0,0.015719508980450925,-0.01852217322376188,955800000.0,0.01331088168082703,0.006281139106337607,993700000.0,0.019335757164938887
2001-02-23,1245.8599853515625,1252.8199462890625,1215.43994140625,1252.8199462890625,1231300000,-0.005570924750844155,1266.883984375,1294.0820068359376,1330.6573404947917,0.009499410625467277,-0.06086943479367868,-0.051329911729613986,-0.03726349739015311,-0.06372591392439031,0.030003375437300396,0.30327421445585734,0.0021952499293623616,0.00968893768310108,-0.0019537369511636415,1365900000.0,0.009423977587148942,0.008090730929249642,1153700000.0,0.0163008697504174,0.002862720279423331,1309000000.0,0.015643574367554546,0.0035167569862350804,1137100000.0,0.013166945390119316,-0.005349730316245383,1215000000.0,0.01959008636000398
2001-02-26,1267.6500244140625,1267.68994140625,1241.7099609375,1245.8599853515625,1130800000,0.017338769191571488,1260.1079833984375,1289.3710083007813,1328.685009765625,0.009887947451356374,-0.02603090525780294,-0.04459529120020422,-0.0168461860448873,-0.045936384397328944,0.02049460021961389,-0.4692275317898473,0.0020097633059521316,0.009499410625467277,-0.005570924750844155,1231300000.0,0.009854148237443147,-0.019086287083199486,1257200000.0,0.01625858439897544,-0.0049893659014614644,1258000000.0,0.015731302707118425,-0.01872167427473288,963200000.0,0.013371329175879545,-0.014940089385435541,1065200000.0,0.019324961608042264
2001-02-27,1257.93994140625,1272.760009765625,1252.260009765625,1267.6500244140625,1114100000,-0.007689396127662075,1255.9079833984374,1282.1339965820312,1326.6646728515625,0.009915103295995407,-0.016419848438629203,-0.04596724066389657,-0.018870145585624276,-0.05180263924386708,0.016296485488077488,-0.5702494946554391,0.0016647223204386509,0.009887947451356374,0.017338769191571488,1130800000.0,0.00914873216532062,-0.017508953990654743,1112200000.0,0.016221433038558584,-0.001887629230125118,1098000000.0,0.015258238450716572,0.014571644470684243,404870000.0,0.013330342149890666,0.010957078745980514,1026500000.0,0.020080062458604536
2001-02-28,1239.93994140625,1263.469970703125,1229.6500244140625,1257.93994140625,1225300000,-0.014412471713944133,1252.8419677734375,1274.2479858398438,1323.7743367513021,0.01007334414632612,-0.012212574096786444,-0.06536017895609614,-0.02692415041251306,-0.06332982368489759,0.027275471302832918,0.39219982060458186,0.001075273058123254,0.009915103295995407,-0.007689396127662075,1114100000.0,0.009731522449591048,-0.018680859586076647,1208500000.0,0.016203626107849454,0.0067817000552319595,1053100000.0,0.014011422367239068,0.0053516641385395495,946100000.0,0.01343905010068624,0.013535073096645703,1204300000.0,0.019952810219947884
